id,author,description
2137,@hisarlubis1439,Boikot boleh....Carikan lagi kerjaan buat karyawan yg akan di PHK!!!
2138,@mrpatin4168,Mohon pemerintah berperan aktif.. mncari solusi trbaik.. masyarakat butuh informasi yg jelas.. saya sngat mndukung boikot.. israel laknat... Tp sediakan jg product alternatifnya...dr mulai dri tengkulak jg jngn menyediakan
2139,@ebytlasar1635,😂😂😂😂
2140,@jndkids,"Boikotnya tanggung cuk... Kenapa nggak boikot youtube, facebook, whatsapp, netflix, instagram, tweeter dan kawan2. Mau tertawa takut dicap kafir..."
2141,@vetype5736,Berjuang lah semampu dan sebisamu.
2142,@aggsuprayogi4712,La kamu mau boikot masih pakai ini app kacau otak mu
2143,@SeptiHutahaean-qc3zn,sabar klu mau merdeka!!! tggu hbis dlu tambang2 di papua. baru saya kasih merdeka.
2144,@lachimolala2909,Kenapa unilever banyak banget sih produknya 😡
2145,@nugienazrilchannel,Mari kita boikot selamanya...
2146,@muhamadibrahim5292,Kita gabisa boikot semua yg kita bisa hanya mengurangi saja saya yakin. Smngt 😊
2147,@vinogamerz9673,"Bayangkan saat kita memakai produk zionis, darah anak2 kecil Palestine mengalirr"
2148,@wandishaka9667,"Aksi boikot, tpi produk masih terjual bebas. Gmna cerita....?? Bagi org2 yg tdk tau mna produk israel gmna ??"
2149,@ukhtydiana8008,Biore bkn nya produk israel jg ya
2150,@user-oq4zq3dm2v,Serius itu pabrik nya di israel bkn di indonesia. Masa indonesia cuma bikin limeneral doang.
2151,@adigunawan9261,Skalian hp yg tuan pakai biar bodoh dan dhunggu
2152,@nuraeni668,Sy pedagang minuman Alhamdulillah pembeli sendiri yg menghindari tdk membeli Aqua dan beralih leemineral oasis...pdhl sy hnya diam tdk menganjurkan...takut ada yg kontra...pas ada yg nyeletuk sy tdk beli ini tpi nemilih leemin akhirnya sy lega trnyata sepndpt jdi semangt tdk menjual produk mereka
2153,@babang557,"Bkn msalah gtu bang , kasian buat org yg udh mmbeli bnyak AQUA sblm peperangan (stok) eh tau²a ga ke jual , sodara gw jg udh bnyak beli leemineral , akso , sdangkan AQUA akhir\'a buat di minum pribadi , perkara boikot² bginian , hrus\'a yg stop bukan dagangan\'a / warung\'a , mlainkan pemerintah yg langsung larang barang² israel buat masuk di jual belikan , kan klo udh di tutp sma pemerintah udh psti para pedagang ga bkl beli lagi ,... Klo pemerintah\'a aja diem mw gmn di tutup ??"
2154,@julianurfitrian8793,"Kalau NU tidak ada mengeluarkan fatwa, berarti saya tetap seperti biasa saja membeli produk, karena yg kerja di pabrik makanan dan minuman serta sabun mandi tersebut rakyat Indonesia yang muslim juga"
2155,@assalam211,"Tenang bro.. warung tidak akan menyediakan jika tidak ad konsumen/warga sekitar ny yg beli suatu prodak. Mengapa prodak Unilever..coca cola,dkk paling byk diwarung krn buaaanyak yang cari. Coba gk ad yang beli pastilah pemilik warung gk nyediain prodak mereka.. jika banyak yang gk nyetok disales mereka jelas perusahaan importir mereka anjlok dan uring uringan ngeimpor prodak pendukung zionis tsb. Jadi tak usahalah mengharap pemerintah bergerak sebab pemerintah cari cuannya dri proses impor n ekspor."
2156,@user-hs5if8xx2o,"Produk dari siapapun,selagi itu bermanfaat dan berkualitas tetap dipakek aja."
2157,@robinrob1893,"bermanfaat buat bunuh orang ya, hebat"
2158,@yusepandikusuma4842,"Munafik,nanggung...sekalian HP nya jgn dipake...aplikasi youtube yg ente pake...komputer... Malu2 in aja ente..😅"
2159,@juwitabrmeliala3175,😂😂😂 lebai x ahh
2160,@Be7LinTOBING,Semua produk ABC terafiliasi dengan Produk Israel karena sahamnya 65% sudah di beli oleh H.J.Heinz Company asal Amerika Serikat. SEMOGA INFORMASI INI BERMANFAAT..
2161,@rimbaputradewa8429,Berarti boikot produk amerika dan negara nato juga dong yg mendukung israel...
2162,@danistradline8955,"Yutub yg lu pake jg produk israel... IG yg lu oake buat share foto2 estetik lu jg produk israel, dan hp yg lu pake sehari hari jg produk israel... Boykot sklian klo emank lu serius mau boykot produk israel.... Berani ???"
2163,@user-lt7fs8gd6j,"​@@danistradline8955kata siapa YouTube sama ig punya Israel dek,, sekolah yang bener geh"
2164,@user-yi6lu7wf9g,​@@danistradline8955info dri mana ? 😂😂
2165,@suryaramadhana287,"​@@danistradline8955gas hp china,pake tiktok, telegram, x ga usah pake prduk israel, boykot israel"
2166,@riyanmandatory8580,Gass pooollll boikot
2167,@muhammadfadly7362,Le minerale jg kontribusi ke Israel ga tuh .??
2168,@ademayem4515,Uang dari penjualan produknya y buat bayar karyawan mereka.masa buat beli amunisi 😁. #Freefalastine
2169,@user-tt5jm5cu8v,Ide bgs
2170,@Najmussaqiah,"ikut boikot, israel kejam sekali"
2171,@Najmussaqiah,kami sdh ikut tak membeli... ikut perintah MUI
2172,@user-wg5yn6rc4z,Gass bikot
2173,@caliefexp,israel baikont
2174,@sutrisnotrisno6713,Ayo trs boikot perusahaan yg terafiliasi dgn israel..rasudi aku kon tuku..yg gak suka ada boikot ya paling yg mendukung israel..
2175,@user-iq5mn1vu6q,Semoga saya cepat nikah dan punya anak dan bisa bahagia terus masuk surga bersama keluarga dan keturunan..serta hari ini dapat uang satu juta trelioner....😢😢😢😢
2176,@AnkYou-bx7vw,"Boleh boykot, tpi bayarin dulu,borong,.. dah tuh serah mau di bakar mau di buang,. Ksian pdagan pke modal lho.. boykot kok dari bawah? Nani nani ?? ✌😅"
2177,@Lammmborghini,Stres lu
2178,@apanadaffaliddoxx9397,Barodo teing ah loba aturanteh
2179,@ferilsatria7422,"ya gini lah contoh2 orang2 goblok,, miris gw liat nya,, bodoh nya orang indonesia gampang banget di goblok2in dan di doktrin, makanya kaga bakalan bisa maju , kalo emang lo pro palestin beli tiket terbang ke sono, ngapain ngerusak bahan pokok dlm negeri. mikir woii lo beli produk yg di boikot ,trs duit nya lo kira buat supplay amunisi dan senjata buat perang, woiii orng2 tolol, buat gaji karyawan dll indo tiap produk aja masih minus mikir nya dah yg lain2 aja, mikir tolol sekolah makanya, logika yg di pakai ."
2180,@almazdabovsky9677,"Le minerale juga, kita air isi ulang lokal saja❤🤣👍"
2181,@Masjowi,Tolong toa mejid... Tu yg buat org kristen
2182,@petanisolondomo4390,"Seharus e ya perusahaan nya saja yang ditutup.. Yang sudah diedarkan ya biarkan saja dibeli habiskan stok... Biar tidak merugikan toko"" kecil yang sudah nyetok dagangan..."
2183,@akilahaz-zahra8542,Siap boycot yahudi produk
2184,@STolivia3017,Woy abc tak boleh ma
2185,@nofitasari4300,Sekalian medsos produk israel yahudi di boikot
2186,@bontaitina940,"bukn maslah boikot nya syaa warung kecil sdh terlanjur beli apakah mui memikirkan ,nnti kelar perang mui dpat cuan lagi di sgok sma produk israel kembali halal gak ush lah haram2"
2187,@mustakim-xd6ro,Product lokal juga bagus kok.. Ayo pruduct2 lokal Bangkitt..
2188,@toxicsugesti2883,"kalo boikot kok nanggung nanggung ya.. yg produk tertera sangat menggebu gebu memboikot, tp asli yg paling banyak bantu tu zionis, google, youtube, Microsoft, iphone. dn lain lain.. jd kalo masih make yg bantu zionis haram kan.. nah haram deh tu yg tidak di boikot tp bantu zionis kan.. bijak lah wahai saudara ku"
2189,@riskidestrian9725,"Saya jd bingung boss, di rumah ustad tempat saya belajar kebetulan produk2 tsb banyak di pakai sama di rumah saya jg.....trus klo kita boikot pabrik2nya tutup lantas karyawan2 nya yg mayorutas jg muslim jd pengangguran...lalu memberi makan keluarga\'nya gimana ya boss?...apa si boss mau tanggung biaya hidup mrk???"
2190,@toxicsugesti2883,"setuju boikot tp barang yg masih di toko di indonesia itu klo di matiin mereka yg rugi.. krn itu barang udah mereka punya.. jd bijak nya tu habiskan stok nya dan tidak stok produk itu lg.. itu yg bijak.. tolong mengerti juga cara dagang kalo mau boikot² gtu. krn pedagang kita juga nanti kena imbas nya.. padahal itu kan sudah trlanjur di beli toh uang nya jg mungkin adah masuk u bantu zionis.. jd yg benernya tu beli aja stok yg ada krn supaya tdk merugikan pedagang kita, lalu jgn stok produk yg bersangkutan itu lg.. dan pemerintah berperan u tidak memasuk an produk itu.. kalo pun pemerintah tidak membantu boikod setidak nya pedagang atau toko yg stok produk itu berhenti stok produk itu.. beres itu yg bijak dr segala sisi"
2191,@donwehong7099,Sebegitu bencinya . Smp produk makanan yg tdk salah di boikot. Apa tuhan menyuruh tindakan seperti itu ? 😵😵
2192,@sayatidakpeduli7598,Pemerintah juga boikot produk amerika Dan beli ke rusia
2193,@eddyboys5881,Sejak kapan israel produksi barang2 yg kalian boikot
2194,@eddyboys5881,Boikot juga tu FB gogle.... Jangan d pakai2 lagi
2195,@fakerz3796,cara bisa tau produk israel apa bukan gimana ya?
2196,@user-ne9tz5wf5m,Hp juga di boikot
2197,@posaidon2598,boikot kok pas ad kejadian wahai orang indonesia 😂😂😂 mata kalian dimana
2198,@henryadisti3855,"Yang bilang nanti ada phk gmn kan yg kerja orang kita juga wkwkwkw itu framing zionis pesek, nih temen gw yang kerja di pt itu ajah udah siap dan seneng banget kalo pt nya bangkrut sekalian, gw tanya kenapa bro? Dia jawab yaelah laku kagak laku gaji gw juga segitu aje lagian rezeki gak kemana kalo pt zionis bangkrut kan ada pesaingnya yang srflus otomatis ntar juga buka lowongan jadi kagak usah takut, gw lebih takut kalo yang gw lakuin berkepanjangan justru tangan gw yang cari rezeki jadi penyambung pembantaian saudara gw di sana"
2199,@supriyadis2695,Mari kita dukung semua umat muslim untuk palestina...jangan beli prodak Israel hukum dalam MUI sudah jelas ❤❤❤
2200,@user-qx1yp3pc8m,Negara Konoha Emang lucu Tolol dan goblok
2201,@Free_Palestine166,Lu sendiri lah
2202,@EddiBaho,G bakalan nguruh buat israel
2203,@arifsamsul4681,"Ga gini gini juga kali bro, ngeri gua sama orang yang bilang boikot, gua juga sama muslim, tapi jangan gini"" amat lah, makanan produk ini gatau apa"" kenapa kalian boikot...boikot aja perut lo sekalian kesel gua"
2204,@Putra_editor89,"Pemerintahan nya tidak bisa berkerja,cara mengambil tindakan nya kurang baik,ini sama saja membuat pedagang kecil makin susah, ambil tindakan itu bukan di pemasaran nya tapi di manah barang2 itu kan di proses dan di kirim bukan sudah sampai di konsumen baru di stop 1 kata TOLOL.."
2205,@omondo4281,Dikasih harga cabe selangit aja pada ngejerit masih aneh aneh
2206,@mahmudi8372,"musnahkan,jangan sampe akibat boikot lallu banyak produk israel yg di stok pas udh dicabut boikotnya diedarkan lagi saat sudah kadaluarsa,badan pom harus bertindak"
2207,@user-yl4cg3uk6p,"Gue udah lama ganti akua jadi air biru, ganti teh jd tejus, ganti sunlite jd si mama, sbun cair jd give, selebihnya belom"
2208,@nuraji725,Kok Hampir isi semua warung produk
2209,@retnoretno7122,Hrusnya pemerintah itu setop brang ISRAEL. Ini udh di toko2 mlh di baikot kn kasiyn yg punya toko dn warung2 jdi GK di beli rugi lah nanti.
2210,@antraspiston,Konten pembodohan...!!
2211,@mistergalau3658,"berani boikot produk mknn  minuman tapi tdk berani Boikot Android, Google, IG, Youtube, WhatsApp, FB dasar kaum MUNAFIK"
2212,@WiJoyo-tz4pb,"Boikot aja, tapi tenaga kerja orang indonesia. Kalo tenaga kerja yg islam di pabrik yg di boikot apa akan di bantu makan keluarganya ya gak mungkin. Tq"
2213,@saputraegi9053,"Kalau mau boikot sumua barang jangan di jual,,, barang dr israel jangan di pasarkan"
2214,@tryjaluatmojo1158,boikot gampang.. adakah pemerintah mencari solusi sebagai ganti?
2215,@azizfajar9207,"Enak ya yang mengharamkan boikot , gajinya ditanggung pemerintah... 😂Sini tuh nyari uang dapetnya umr ngga ada jaminan..."
2216,@wahyuputra346,"Untuk mobil, motor, handphone....itu termasuk produk mana....kok gk ada yg di boikot / fatwa jangan pakai semua apapun yg dari israel /pendukung israel...."
2217,@wahyuputra346,"Untuk mobil, motor, handphone....itu termasuk produk mana....kok gk ada yg di boikot / fatwa jangan pakai semua apapun yg dari israel /pendukung israel...."
2218,@Kadal_punyacerita,Kecap Bango termasuk ya yg dukung Israel kalo begitu aku stop beli kecap Bango
2219,@budijaya3916,Tidak ada urusannya dgn kebutuhanku
2220,@Menanti_Fajar,"Bukankah Masako itu produknya Ajinomoto? Dan Ajinomoto buatan Jepang. Jepang pendukung israel. Mending pakai garam laut aja, biar hidup kalian balik lagi kayak jaman dulu .. 🤣🤣 Motor dan Mobil yg kalian pakai juga rata-rata buatan jepang sekutu Israel dan Amerika. Mending balik pakai kuda aja kayak jaman dulu 🤣🤣 Pergi haji dan umrah pun naik pesawat yg buatan eropa atau Amerika sekutunya Israel...Gak sekalian diboikot juga??"
2221,@Sedan-zx6np,Pemerintah harus pertegas bahan dari Israel jangan sampai masuk indonesia
2222,@hariyono3625,"Jadi inget dulu garnier diboikot karena ulah presiden prancis, sekarang di boikot lagi 😁 buat ngembaliin minat konsumen buat beli produk garnier laaaammaaaaa bener dah, kasian nasib karyawan garnier indonesia."
2223,@hariyono3625,"Jadi inget dulu garnier diboikot karena ulah presiden prancis, sekarang di boikot lagi 😁 buat ngembaliin minat konsumen buat beli produk garnier laaaammaaaaa bener dah, kasian nasib karyawan garnier indonesia."
2224,@yudihernawan7343,"Maaf,itu barang barang di impor/diproduksi di indonesia?klw di produksu dalam negeri dan karyawan karyawannya org org indonesia, bgmna nasib mereka??"
2225,@bloxyg,Ulas seorang konten kreator yang menggunakan youtube dan produk layanan google 😅
2226,@RevinaJuniarty,Aku heran sama yg buat vidio ini😂😂😂😂 Dh lari sarafnya 🤣🤣🤣🤣
2227,@calonpro3988,pintar memanfaatkan ketololan rakyat indonesia 🤣
2228,@Ajibaskara681,Biar di boikot tetap saja saya beli Coca-Cola
2229,@lolithaagathaester616,cukup ketawa aja lah org yg bertingkah bodoh 😂
2230,@Spades334,"sulit juga bagi kita kan semua barang yang di boikot itu sudah kita gunakan sehari - hari jadi mau bagaimana lagi?, Tetapi tetap berusaha untuk menggunakan produk dalam negeri 😁😁🍉🇵🇸#freepalestine"
2231,@AkunJudi-hg4gb,Laah cuman trik dagang pesaing aja...
2232,@ferdyfirli1242,Berarti artinya cintailah produk Indonesia
2233,@meldasari1309,Saya heran Indonesia kaya akan rempah kok bahan2 simple kaya gitu bisa berhubungan dengan israel
2234,@dolantipisadventure8394,Palling boikot 1 hri 2 hri😂🤣🤣😂😂gmnoun jg israel pemegang perekonomian dunia😂😂😂
2235,@EssenSiDornaOfficial,Ayo belanja di 212 mart😅😅😅😅
2236,@koplakgatel,"Dukung komunis cina yg untung banyak, wah islam koplak"
2237,@oppopoo-qm7jk,Bung aka produk israel dhajal..
2238,@ndeso_adem7270,Mang sariwangi dri israel ya
2239,@davitpn,"Mikir temen cok², mending urusin hidup lo ja , kalo cuma koar² boikot2 cuma bikin konten , mikir njing , kalo mau koar² boikot dari jaman pertama israel serang palestina . mikir"
2240,@marcellotristan2247,Kalo gw selama itu halal pasti gw beli...mau produk manapun itu karena kebutuhan sehari hari..
2241,@kianomraksajagat7328,Aneh....koq jadi digunakan untuk persaingan bisnis
2242,@user-up7df2nj1b,ENAKAN TONGJI
2243,@Lontong_mbalap,"buat psotingan barang yg ada kaitan dgn produk ziones israel,"
2244,@hendra-rt7j,yg jelas .. belanja senjata canggih buat memerangi mereka . MUI dan umat Islam kumpul duit beli Alusista anti senjata perang kafir jahudi dan antek anteknya . .. stop bangun infra struktur dan ikn di Kalimantan serta stadion di Papua . bangun alutsista canggih .
2245,@KANGAMBYAR,tapi rasa gk pernah bohong.kecap bango tetap no satu.
2246,@ajid.jr007,"Kalau aku sih gak masalah produk makanan dari mana nya, yg terpenting halal, baik untuk di konsumsi, semua orang..."
2247,@petanileudug4335,Awesome
2248,@jeprettelo8217,kok nemen to iki
2249,@putrasumedang9,Ada website lemineral pasarnya sampai Israel
2250,@mardatillah5331,Bukannya abc juga termasuk....?
2251,@bondanankyyasa4414,Ente tau backsoundnya ini ? Kocak sok bela palestine tp backsoundnya dari kafir jg 😂
2252,@miftahulhuda4733,"Emang mereka naro saham dan industri di negara wakanda doang, se di boikot2 nya produk sama aja pasti ada aja yg beli, dan di negara lain yg mata uangnya gede kaya USA dan Eropa pasti laku aja, Kok sama kaya Fans mu mau boikot pemiliknya yaitu Glazer ya, fans boikot 1 toko marcendas di Manchester, tapi apa hasilnya gak ada cuma kecil, masih banyak toko2 man UTD di kota dan negara lain, belum yg online,"
2253,@Nisaputti,Manusia apa antuh gak tau itu sudah di beri sama Allah dasar gak bersyukur apa yang Tuhan berikan🤨
2254,@sosrosugiyanto-wi8om,Boikot juga media sosial. Karena semua pro israel 😅
2255,@miftahulhuda4733,"Entah kenapa produk2 yg mau di boikot tin itu produk2 berkelas, produk unggul dan berlevel serta berkualitas, Tapi seneng aja sih kalo gak ada yg beli , soalnya selain dari segi boikot, aku liat dari segi pemasaran harga pasti turun, kalo gak laku dlm jangka waktu lama"
2256,@nurrohmahfaizatuljannah4866,ABC juga dari Heinz yang pro israel
2257,@dheasuryaprasudi3419,"Bisakah anda memastikan bahwa memang barang yg ada vt anda ini sudah sesuai dengan tujuan anda...,saya ikut support Palestine setulus hati saya,tapi saya khawatir vt yg anda buat ini tidak sesuai,yg malah akan membuat produk yg seharusnya tidak disalahkan dalam kondisi salah...,mungkin anda dapat mengerti apa maksud saya❤"
2258,@scharamuzdharma999,L A N J U T K A N 👌👍👍👍 #savepalestine 🇵🇸✅💙
2259,@lidwinatiny3044,BukankH pekerja pabriknya orang orang Indonesia juga...
2260,@daniachmad7365,Youtube np g d boikot ya?
2261,@mukidmukid1037,Gblok ngra
2262,@aguswibowo3350,"Gimana kalau produk zionis Israel itu ternyata diproduksi di Indonesia, Jika nantinya pabriknya pailit....akan terjadi PHK,maka banyak rakyat kita (pegawai pabrik )juga akan kena dmpaknya. Gimana ya solusinya."
2263,@Ambarwati-fz9ef,Jangan terlalu fanatik entar repot sendiri...udah saja belanja seperti biasa
2264,@mochammadbasuniimron5777,boikot bukan jalan yang benar.
2265,@user-sj9cd3ml5w,"🤔🤔 saya heran sampai bumbu masak aja bisa bisa nya impor dari Israel, produk Indonesia apa 😂😂😂😂😂"
2266,@rudiwiranata261,Ada yg tau bagaimana sejarah uang kertas di ciptakan..?? Klo saja anda anda tau mungkin barter yg akan di lakukan sekrang.!
2267,@ryanadhicandra3624,Gausah di upload d yutub short gan...kan punya AS..sekutu nya Israel
2268,@reyhanfatahillah3322,Mau boikot itu pemerintah harus bayar ganti rugi pedagang
2269,@nachichanel8581,le minerale jg sama kyk aqua jgn bodohi masyarakat
2270,@AV-05,"Post boikot, koment boikoit.. aslinya kagak.. kocak, munafik bet kadrun² di konona nih 😅"
2271,@indrapanca562,"Bismillah.... Semoga rakyat Palestina  para Mujahid² diberi Kekuatan, Ketabahan, Ketawakalan  Kemenangan dlm perjuangannya mengusir penjajah zionis israhell. Serta senantiasa dalam Lindungan  Rahmat Allah SWT. Serta Palestina segera diberikan kemerdekaan, kedamaian  kebarokahan. Aamiin ya Mujibasailiin... Allahu Akbar..!!"
2272,@suwarnisetyo8915,Aamiin Allahumma Aamiin Qabbul Ya Rabb
2273,@adrieljayadiparhusip1902,Cara pandang yang bodoh
2274,@agusdemon659,Maksud nya cari merk si udin merk lokal
2275,@suyanto6,"Termakasih infonya , share lebih banyak admin"
2276,@erikooktariansyah6539,"Teh made in indonesia ada gak? Klo ada, apa namanya?"
2277,@porgastdsyofian5682,"Kalo negara krisis ekonomi kita ngeluh, nyalahin pemerintah. Sedangkan kita sadar ekonomi kita juga secara ga langsung terbantu oleh produk"" itu. Dari pda kita berdebat soal boikot. Kenapa kita ga sekalian mendesak pemerintah kita buat angkat senjata lawan langsung mreka (zionis ), kayak negara"" lain yg mulai memperlihatkan aksi nyata ? Bahkan cina yg bukan islam pun mulai bergerak ,mengangkat senjata."
2279,@Kang_Kabayan,"Harusnya pemerintah yg memboikot, dg melarang produk2 ini masuk, jangan lempar tg jwb kpd rakyat"
2280,@user-yo2ft4rj9f,Ws kadung cocok bro
2281,@pastel_coklat_sss_switt7671,produk israel babi
2282,@almazzband,Bener semua tuh 😂😂😂 bango aku sd smp aja sdh ada nah israel kpn datang nya ??? Umur ku sekarang nyaris bgt 60
2283,@umizainab888,"Alhamdulillah sy udh lm tinggalkan produk yahudi isroil,insyaallah udh ikut jihad dgn boikot produk zionis,,yg udh mnjjah palestin 75th dgn kejam"
2284,@Rani_nurmayanti,mereka yg bekerja di pabrik pembuat produk tersebut bagaimana. cari prodak lain memang bisa. tapi menghentikan mata pencaharian mereka rakyat pribumi mungkin itu yg belum terpikirkan
2285,@idafauziah9835,5 tahun indonesia gak ada haji sebab pesawat terbang buat israel maka di jamin palestina merdeka buat apa boikot bl masih gunakqn kertas(uang)itu produk yg gak lepas darii israel pikirlah
2286,@sujudsyukur2863,Stujuuu bnget
2287,@jalur228,"ketawa sendiri, buat apa, semoga internet juga di boikot"
2288,@fahrurrozi5608,"Hampir semua produk"" yg di pasaran punyany zionis to??? Terus produk indo yg mana??? Klo emang g boleh, pemerintah harus stop produk mereka dong..."
2289,@gustaryofaturahman8952,"Baru tau produk nya bnyk bngt , aku kora produk kita sndiri"
2290,@MuhammadFaisalHutasuhut,abc ga boleh juga
2291,@wawankurniawan6651,"Lu aja yg boykot, gua mah rasional aja"
2292,@willywidyatmoko2557,"Bagaimana dg YouTube Google , Facebook whatshapp ig"
2293,@user-ie8gu9ir3z,Hamas israel itu urusan pbb bukan memblokir produk israel..
2294,@cucucahyati2655,"Belajar dari burung pipit yg berusaha membantu memadamkan api yg sangat besar yg membakar nabbi ibrahim,, walaupun secara dzohir tak mungkin padam tetapi dari usaha dan perjuangannya itu kita tahu dia berpihak dimana !! tanamkan rasa taqwa dalam jiwa berusahalah agar kita tau arah jalan, semoga sedikit banyakny apa yg bisa kita lakukan untuk sodara2 kita menjadi hujjah di hari penghakiman nanti di hadapan Allah"
2295,@user-ie8gu9ir3z,Ko bisa ....ini di butuhkan orang banyak...kenapa harus di boikot..nanti klo di boikot pajak negara hilanglah gimana untuk kelangsungan pajak pemasukan negara kita...yg bener aja...ga masuk akal ga profesional...berapa kerugian yg di tanggung negara dan pemilik pabrik tokoh pedangang....
2296,@AsliKalem-jq1ps,Pajak negara sebagian di makan orang kaya
2297,@robinpian5918,ayo dukung boikot produk ISRAEL tapi semuanya jangan setengah2 munafik seperti google internet laptop Facebook Twitter Instagram dan listrik dan mobil temuan orang YEHUDI(YAHUD)
2298,@sipahutarsardiman7152,Manusia2 frustasi😂...
2299,@AgusTian-fc3mc,"Saya sangat mendukung dengan program meninggalkan/mengharamkan segala produk yahudi/zionis ini,, karna ini adalah sebagai bentuk kepedulian kita melawan/berperang secara tidak langsung menentang kezoliman yg mereka lakukan kepada saudara2 warga Palestina, sekaligus kita memajukan usaha anak negeri,"
2300,@muhammadfaizin1632,"Wkwkwkwkw kocak boikot sekalian wa ,facebook ig.profitnya gede2.boikot kok tanggung2"
2301,@cha.j2144,"Semangat ya boikotnya👍👍 O iya totalitas ya kak boikotnya, habis ini hp nya ganti buatan indo aja kak, sama yang tidak pake kamera🙏 Tp percuma juga pake hp kan komponen jaringan juga produk israel kak🤔 Yg punya USB, memory card, jam tangan pintar di rumah di bakar semua ya🙏🙏 Tolong bantu sebarkan ini buat kalian yg mau boikot..karna saya masih membutuhkan produk israel jadi kalian aja yg sebarin ya🙂🙏"
2302,@youtubestory6717,Bingung
2303,@adiriyadi4494,Aku baru tau kalau itu yg sering kumakan produk israel Apa slama ni uda banyak orng tau tetep memakanya?? Sma aja kita semua munafikk
2304,@zistyfauzi1890,"pemerintah: baik, nanti kita akan buat produk sendiri setelah negara kita kaya"
2305,@ndessaja4913,"Apakah tidak berpikir apakah dg boikot menyelesaikan masalah palestina? Bagaimana dg org muslim jg yg bekerja diperusahaan tsb , apakah kalian yang menangung anak istri mereka? Apakah dg membeli produk tsb lantas dianggap membantu israel? Apakah nabi Muhammad mengajarkan boikot sperti itu?"
2306,@davidemployee9384,"Iya kali...gak tahu juga. Kan selama ini yang ngeharamin, ngeboikotin para ulama."
2307,@serlyfatmawati5414,"Yg di boikot produk amerika , kalau produk perancis inggris gimana mereka juga dukung israel"
2308,@peggychanel43,Halah ga ngaruh
2309,@Sang-Penakluk,selamat kepada produk yang bukan pro israel
2310,@robertthenu2726,Jualan sayur aja sm ikan lele produk loksl 😂😂😂😂
2311,@robertthenu2726,"Emang tahu baju,pakaian,jam tangan,itu dari mana jng gitu itu namanya mrmatikan ekonomi indonesia klu mau bantu kirim dana untuk palestina itu lebih penting jng bisa membuat orang lain sensara kasian klu dipecat saya ngak setuju"
2312,@robertthenu2726,Sok bersih semua haram selingkuh korupsi ngak haram😂😂😂
2313,@alexsukardi1775,"Setidaknya, jika suatu saat kita di minta pertanggung jawaban di hadapan Allah kita punya alasan pada siapa kita bediri, dan hal kecil yang kita lakukan akn menunjukan pada siapa kia berpihak. Amiin"
2314,@pasarmiepekanbaru,Free Palestin 🇵🇸.. Free Palestin 🇵🇸.. Free Palestin 🇵🇸 !
2315,@davidemployee9384,"Palak bapak kau free, kontol lah. Kencing aja bayar 2000, kecuali di balik tembok dan batang pohon."
2316,@edisetiyoatmojo575,"model begini mengajarkan kebencian.kesesama manusia berkedok agama..Israel dikaitkan dengan politik yang merugikan pengusaha pengusaha.facebook ,yutube boikot juga.kalsu kamu berani"
2317,@suwartiriyadi4810,Alhamdulillah sudah boikot produk Israel.
2318,@narkis-yb9it,Kecap Bango itu bukan buatan Indonesia kah?
2319,@tantiyusniawati6816,Ok saya tidakk akan membelinya
2320,@eropabarat497,"Ada produk Israel yg bisa di hindari dan yg tk bisa sekaligus d hindari.. kita rdk akan mati hanya krna tdk mkn McD dan yg berupa makanan dan produk Unilever lainnya, kalo tdk bisa membela Palestina setidaknya jgn berdiri d pihak musuh,, soal YouTube, FB, Instagram mmg milik Israel,, tp itu sperti pisau bermata dua yg dpt d gunakan untuk menyuarakan membela Palestina.. ada banyak hal positif yg bisa di lakukan dari dunia maya,,"
2321,@Blik_Dee,"Ngapain agama di bela , selemah itu kah tuhan dan agamamu , saya pikir tuhan maha sakti yg tidak perlu di bela, yg harus di bela dirimu sendiri , kuat kah dirimu menahan amarah dan sirik trhadap orang lain"
2322,@alexsukardi1775,"Ini bukan masalah membela agama  menganggap Allah lemah, sudah jelas Allah maha besar. Hanya saja suatu saat jika kita di minta pertanggung jawaban di hadapan Allah kita punya alasan di posisi mana kita berdiri,  dengan hal sekecil apapun akan menunjukan pada siapa kita membela."
2323,@Blik_Dee,"@@alexsukardi1775 sudahlah , jangan ikut ikut walau saudaramu ikut, kalau kalian ikut jalan yg salah gmn? Kalian juga yg akan ikut terjerumus ke hal yg busuk"
2324,@user-dg9zo6pi7x,Tai kalian
2325,@user-fd4bh1lz4s,"Makanya berdikari sendiri kurangi debat wes gak onsom,yg salah masyarakat kita sendiri yg suka barang2 luar,kalo begini yg salah siapa,karna Allah rohman rohim siapa yg mau berusaha pasti di kasih ba itu orang kafir atau alim,"
2326,@iburoudhoh4988,boikot.... setidak nya kita sdh ikut berjuang dlm bidang ekonomi
2327,@elirostiawati5132,Memboikot produk Israel dan sekutunya menjadi peluang emas bagi perusahaan / produk lokal untuk menjadi maju dan menjadi tuan di rumah sendiri.
2328,@elirostiawati5132,Memboikot produk Istael dan sekutunya menjadi peluang emas bagi produk lokal untuk menjadi tuan di rumah sendiri.
2329,@segermartinus5259,"harga sahamnya naik terus,"
