id,author,description,clean,sentiment
842,@InterMilan-to9of,@@garongsubarjo3441 om ga usah main medsos ato buka internet yg hampir rata2 punya orang yahudi..,om ga usah main medsos ato buka internet yg hampir rata punya orang yahudi,negative
843,@windywahyu4686,maaf apakah boikot seperti ini bisa menyelesaikan masalah untuk Palestina? atau menambah masalah untuk rakyat Indonesia juga seperti Nestle itu produk susu yang kebanyakan digunakan rakyat Indonesia juga. boikot beberapa produk yang mendanai Israel boleh2 saja tapi pikirkan solusi untuk rakyat Indonesia yang mungkin mencari rezeki atau berkebutuhan hidup dari beberapa pabrik produk tersebut jangan sampai kita bisa membantu negara lain tapi menambah masalah dinegara sendiri. saya yakin palestina akan merdeka karena itu sudah janji Allah SWT,maaf apakah boikot seperti ini bisa menyelesaikan masalah untuk palestina atau menambah masalah untuk rakyat indonesia juga seperti nestle itu produk susu yang kebanyakan digunakan rakyat indonesia juga boikot beberapa produk yang mendanai israel boleh saja tapi pikirkan solusi untuk rakyat indonesia yang mungkin mencari rezeki atau berkebutuhan hidup dari beberapa pabrik produk tersebut jangan sampai kita bisa membantu negara lain tapi menambah masalah dinegara sendiri saya yakin palestina akan merdeka karena itu sudah janji allah swt,positive
844,@ZT571,Bodohhh..,bodohhh,negative
845,@Pappy_Happy,TOLOL,tolol,negative
846,@akbarbarbossa689,Gua pedagang warung gua jual semua produk yang katanya di boikot gua freee palesttina tapi intinya kalo gua gk dagang prsuk yang katanya sedang di boikot bukankah keluarga kita lebih dari di boikot,gua pedagang warung gua jual semua produk yang katanya di boikot gua freee palesttina tapi intinya kalo gua gk dagang prsuk yang katanya sedang di boikot bukankah keluarga kita lebih dari di boikot,negative
847,@tradingprofit8231,Produk Indonesia mana atuhhh,produk indonesia mana atuhhh,negative
848,@kapantenar225,Wahhh..israel hebat juga ternyata.. hampir produk tersebut yg selalu dibanggakan di indonesia,wahhhisrael hebat juga ternyata hampir produk tersebut yg selalu dibanggakan di indonesia,positive
849,@aliwafa1264,"Setau aku selama barang tersebut, diproduksinya diindonesia, dan pemilik sahamnya, adalah orang yg bukan keturunan Israel, itu sah-sah saja... Kita beli... Lebih bijakk",setau aku selama barang tersebut diproduksinya diindonesia dan pemilik sahamnya adalah orang yg bukan keturunan israel itu sahsah saja kita beli lebih bijakk,negative
850,@abdulkhamid775,Grab juga yg punya pendukung israel,grab juga yg punya pendukung israel,neutral
851,@hamzahyahya5272,"Ayo pejuang kemanusiaan manusia bondong boikot produk saham Zionis, lemahkan mereka di sektor pemasukan ekonominya. Smoga Allah berikan kita pahala walau sekecil biji dzarrahpun. Rewako Palestina..",ayo pejuang kemanusiaan manusia bondong boikot produk saham zionis lemahkan mereka di sektor pemasukan ekonominya smoga allah berikan kita pahala walau sekecil biji dzarrahpun rewako palestina,negative
852,@dananggates1929,"hp nya kenapa ga di boikot juga ya, termasuk barang"" elektronik lainya, emang bisa hidup tanpa elektronik?",hp nya kenapa ga di boikot juga ya termasuk barang elektronik lainya emang bisa hidup tanpa elektronik,negative
853,@LiaUlfah-zr9up,Sok tahu,sok tahu,negative
854,@budip7799,Emang apa ja sih prosuk israel itu?,emang apa ja sih prosuk israel itu,negative
856,@AromaCake-tq7ls,"Di saat Ganjar menolak tim Israel dia di buli seluruh indonesia.. kini saudara"" sudah melihat sendiri kan betapa kejam,a Israel",di saat ganjar menolak tim israel dia di buli seluruh indonesia kini saudara sudah melihat sendiri kan betapa kejama israel,negative
857,@farisgt3065,Emangya timnas israel mau bawa ak47 bro di stadionnya?,emangya timnas israel mau bawa ak bro di stadionnya,negative
858,@rafirafi5027,Kak saya hanya bilanh ABC juga gak biasa kak😊,kak saya hanya bilanh abc juga gak biasa kak,negative
859,@zainarif5439,"Cetho label halal e 😂,mak bendunduk produk israel😅😅😅😅,",cetho label halal mak bendunduk produk israel,neutral
860,@abdulkholik5425,AQUA produksi nya di Pandaan Pasuruan bos bukan Israel,aqua produksi nya di pandaan pasuruan bos bukan israel,neutral
861,@nijmentertainment,ternyata barang2 yg sangat sering kugunakan dari prdk Israel tapi aku belum siap mengganti barang2 itu karena dari dulu sampai kini selalu digunakan 😭😭😭,ternyata barang yg sangat sering kugunakan dari prdk israel tapi aku belum siap mengganti barang itu karena dari dulu sampai kini selalu digunakan,positive
862,@sukarto8983,Video di rumahnya bukan dikeranjangin,video di rumahnya bukan dikeranjangin,negative
863,@muhammadarrizalzalzalah7982,Itumah bukan bokioy israel tapi boikot rakyat indo .. tolol bet wkwkeke terus misal kalo ada royko sariwangi di warung warung mau lu biarin kagak laku ? Mikir si pencari naflah yg gak tau apa apa .. masalah negara jangan disangkut pautkan dengam tatakrama,itumah bukan bokioy israel tapi boikot rakyat indo tolol bet wkwkeke terus misal kalo ada royko sariwangi di warung warung mau lu biarin kagak laku mikir si pencari naflah yg gak tau apa apa masalah negara jangan disangkut pautkan dengam tatakrama,negative
864,@sutartosutarto3959,Apakah daun teh dan airnya impor dari israel?,apakah daun teh dan airnya impor dari israel,neutral
865,@aanzoniaulia2608,mama lemon produk yg di lisensi oleh lion jepang.dan jepang dukung israel,mama lemon produk yg di lisensi oleh lion jepangdan jepang dukung israel,neutral
866,@risqifauzi1470,Boikot boikot kontol 😂😂 pantes aja kagak maju maju ideologinya hanya sebagain doang yg paham wkwkw percuma juga itu kecap bango emg udah banyak peminatnya dan gak gampang nyari kecap yg rasanya udah pas dilidah,boikot boikot kontol pantes aja kagak maju maju ideologinya hanya sebagain doang yg paham wkwkw percuma juga itu kecap bango emg udah banyak peminatnya dan gak gampang nyari kecap yg rasanya udah pas dilidah,negative
867,@user-qi6ku3jj5w,Orio kan bukan dari isrel😮😮😮😮,orio kan bukan dari isrel,negative
868,@ulmanurhappy,Terimakasih infonya,terimakasih infonya,positive
869,@jambrongkandi672,Harusnya barang yang baru dateng yg si stop. Bukan yg sudah beredar.,harusnya barang yang baru dateng yg si stop bukan yg sudah beredar,negative
870,@pitherceck6513,"Ini lah ciri"" pelanggan bodoh, mui tidak pernah mengeluarkan daftar list produk yg di boikot, 😂😂😂",ini lah ciri pelanggan bodoh mui tidak pernah mengeluarkan daftar list produk yg di boikot,negative
871,@user-qe3xx7bm2e,kasihan tau bayak yg di phk tar yang kerja di pt pt tersebut bukalah mata kalian ini cara yg bayak rugikan pihak lain,kasihan tau bayak yg di phk tar yang kerja di pt pt tersebut bukalah mata kalian ini cara yg bayak rugikan pihak lain,negative
872,@kukuhdwipramono4250,Rip sdm,rip sdm,positive
874,@jajangyuli8481,Ngikut aja gue mh 😂,ngikut aja gue mh,negative
875,@wotindonesiabinjai2085,Kasihan yg kerja di pabrik indo tersebut,kasihan yg kerja di pabrik indo tersebut,negative
876,@MONASCHANNEL10,"Hal sepele tapi berarti bagi mereka yg terdzolimi. Sudah daerah sya warung,toko mulai mereka tidak menyetok barang ANJING ISRAEL, bila perlu yg masih dukung israel ku sikat",hal sepele tapi berarti bagi mereka yg terdzolimi sudah daerah sya warungtoko mulai mereka tidak menyetok barang anjing israel bila perlu yg masih dukung israel ku sikat,negative
877,@Harley_official_382,Kasian,kasian,negative
878,@dhianmrttech7227,Aqua kok bisa Israel ya. Maaf tanya,aqua kok bisa israel ya maaf tanya,negative
879,@Blitzzb,Bodoh.... boikot itu justru teroris dalam negara sedang memanfaatkan moment untuk memperburuk kondisi eķonomi dalam negeri 🤣🤣🤣🤣🤣 kalian bacod boikot² msh pke aja itu teknologinya 🤣🤣🤣🤣 byk yg tolol orang indonesia dalam menanggapi israel vs palestina... sedangkan diluar sana orang² isis yg sudah balik di indonesia pada tepuk tangan dengan aksi boikot kalian 🤣🤣🤣🤣🤣🤣🤣 ....,bodoh boikot itu justru teroris dalam negara sedang memanfaatkan moment untuk memperburuk kondisi onomi dalam negeri kalian bacod boikot msh pke aja itu teknologinya byk yg tolol orang indonesia dalam menanggapi israel vs palestina sedangkan diluar sana orang isis yg sudah balik di indonesia pada tepuk tangan dengan aksi boikot kalian,negative
880,@G33..73,Google punya bill gates keturunan yahudi keturunan israel Whats app punya mark zucernberg orang yahudi keturuan israel Kalian bisa boikot gak ? Kita ini kaum cuma kaum gede cocot tapi gk punya keahlian wkwkwk,google punya bill gates keturunan yahudi keturunan israel whats app punya mark zucernberg orang yahudi keturuan israel kalian bisa boikot gak kita ini kaum cuma kaum gede cocot tapi gk punya keahlian wkwkwk,negative
881,@haryjoz6115,Mang masih ampuh apa fatwa MUI,mang masih ampuh apa fatwa mui,negative
882,@heri_ft,"kata dedi crbuzr youtube produk israel,trmasuk admin ayo tutup akun!hapus aplikasi!..",kata dedi crbuzr youtube produk israeltrmasuk admin ayo tutup akunhapus aplikasi,neutral
883,@user-ed5dl1pb7y,Hahahah dasar munafik sudah mendarah daging dalam tubuh sudah dari dulu di pake sudah dari dulu di konsumsi produk2 tersebut kenapa baru sekarang di boikot wkwkkw kadrun memang munfik,hahahah dasar munafik sudah mendarah daging dalam tubuh sudah dari dulu di pake sudah dari dulu di konsumsi produk tersebut kenapa baru sekarang di boikot wkwkkw kadrun memang munfik,negative
884,@tambunan8218,Lahkan royko dari Indonesia kecap juga dari Indonesia,lahkan royko dari indonesia kecap juga dari indonesia,neutral
885,@hanipan38,Hah sunlight pnya israel??,hah sunlight pnya israel,neutral
886,@maulanazain1962,Klo sampe pabrik bangkrut trs mereka yg d ind mau krj dmn...dmn pikiran kalian...bukan begini crnya bro...,klo sampe pabrik bangkrut trs mereka yg ind mau krj dmndmn pikiran kalianbukan begini crnya bro,neutral
887,@Iqbalrizki123,"Gak ngaruh sih,,,! Ini mah efek gak berani satu lawan satu.mental cemen",gak ngaruh sih ini mah efek gak berani satu lawan satumental cemen,negative
888,@henrylondo8453,"biar warga Indonesia banyak yang menganggur, apalagi akan ada pesta demokrasi maka boikot saja produk yg notabene banyak warga yg menjadi buruh di pabrik2 yg produknya di boikot. TAPI INGAT DARI BULAN SEPTEMPER 2023 SAMPE BULAN OKTOBER 2023 JUMLAH IMPORT INDONESIA DARI ISRAEL NAIK.. PEMBELIAN MESIN PESAWAT.. PERSENJATAAN, BAHAN KIMIA DAN PERTANIAN.. kalo pabrik tutup banyak PHK maka.kejahatan akan meningkat jangan sampe Palestina pindah di bumi NKRI (perang saudara)",biar warga indonesia banyak yang menganggur apalagi akan ada pesta demokrasi maka boikot saja produk yg notabene banyak warga yg menjadi buruh di pabrik yg produknya di boikot tapi ingat dari bulan septemper sampe bulan oktober jumlah import indonesia dari israel naik pembelian mesin pesawat persenjataan bahan kimia dan pertanian kalo pabrik tutup banyak phk makakejahatan akan meningkat jangan sampe palestina pindah di bumi nkri perang saudara,negative
889,@ibramrulian9516,Loh oreo kan dari amerika,loh oreo kan dari amerika,neutral
890,@kikimarli4069,"Heh halo iklan indo, pembuat orang indo,ada di indo,lah terus kenapa pak Jokowi membiar kan barang itu iika itu adalah barang Israel aneh😊",heh halo iklan indo pembuat orang indoada di indolah terus kenapa pak jokowi membiar kan barang itu iika itu adalah barang israel aneh,negative
891,@dindinriana7674,Keren semoga seumur hidup,keren semoga seumur hidup,positive
892,@ranggakusuma5754,"Saya dulunya pakek shampo headshoulders Skrg beralih ke produk shampo indo seperti natural, emeron, wardah Lagian klo gk dari skrg dan kita yg beli dan memajukan produk lokal. Siapa lagi ? Mau kapan lagi ? Mulai dari aku sendiri dari shampo pakek produk lokal, makanan dan minuman juga produk lokal bahkan minuman isi ulang yg air dari tanah Indonesia bukan beli produk dari pabrik aqua Klo gk dimulai dari sekarang mau kapan lagi terus bergantung produk barat ?......",saya dulunya pakek shampo headshoulders skrg beralih ke produk shampo indo seperti natural emeron wardah lagian klo gk dari skrg dan kita yg beli dan memajukan produk lokal siapa lagi mau kapan lagi mulai dari aku sendiri dari shampo pakek produk lokal makanan dan minuman juga produk lokal bahkan minuman isi ulang yg air dari tanah indonesia bukan beli produk dari pabrik aqua klo gk dimulai dari sekarang mau kapan lagi terus bergantung produk barat,negative
893,@senantiasa6173,Spertinya itu bagus untuk produk lokal kenapa tidak dr dulu Ternyata produk pilihan masyarakat indo dari dulu produk israil Naas sekali produk local sampai kalah,spertinya itu bagus untuk produk lokal kenapa tidak dr dulu ternyata produk pilihan masyarakat indo dari dulu produk israil naas sekali produk local sampai kalah,negative
894,@RES70728,"Hati"" ....takut ada org yg mencari cari atas momen ini...semata"" memang cari keuntungan pribadi dalam persaingan pasar ...",hati takut ada org yg mencari cari atas momen inisemata memang cari keuntungan pribadi dalam persaingan pasar,negative
895,@Faozi_official,bagaimana dg nasib para karyawan pabriknyaaa...anak2 mereka ...,bagaimana dg nasib para karyawan pabriknyaaaanak mereka,negative
896,@bomberx7300,"Boikot itu, buang produk israel yang di stok di store seluruh indonesia,stop pemasukan barang, tutup usahanya , barang yang gak laku di kasih diskon pasti di serbu juga 😂, cuma modal omdo, kalau kaya gitu macam bocil 😂",boikot itu buang produk israel yang di stok di store seluruh indonesiastop pemasukan barang tutup usahanya barang yang gak laku di kasih diskon pasti di serbu juga cuma modal omdo kalau kaya gitu macam bocil,negative
897,@itzie_rbx,Kalau kita stop produksi terus kita makan apa hah aku ngerti itu dukung Israil tapi tdk papa selera orang beda 2,kalau kita stop produksi terus kita makan apa hah aku ngerti itu dukung israil tapi tdk papa selera orang beda,negative
898,@beriyanuswarasiberiwarasi240,"Kebodohan indonesia terletak pada pujian yg begitu tinggi,dan kebodohan ke dua adalah terletak pada fatwa yg dia bikin sendiri dan di mabuk agama.",kebodohan indonesia terletak pada pujian yg begitu tinggidan kebodohan ke dua adalah terletak pada fatwa yg dia bikin sendiri dan di mabuk agama,negative
899,@sigitreyferel1792,Persaingan yang tidak sehat kasihan para karyawannya menguntungkan para kompetitornya,persaingan yang tidak sehat kasihan para karyawannya menguntungkan para kompetitornya,negative
900,@aroraaurora6786,"Lanjutkan... Israel bisa bangga dg kebiadaban nya karena merasa punya pendukung dan kekuasaan, khususnya ekonomi buat bikin senjata pemusnah massal dan bayar media",lanjutkan israel bisa bangga dg kebiadaban nya karena merasa punya pendukung dan kekuasaan khususnya ekonomi buat bikin senjata pemusnah massal dan bayar media,positive
901,@kucingmeonglucu-meowfunnyc183,"Cukup kita beedo\'a ada rezeki kita kirim kan untuk Palestina, kita cinta gk usah berlebihan,, gk ingat yg buat video ini, berapa bnyk akan jadi phk, produk lain akan naik warganya,, klau bisa buat video fikirkan pikirkan saudara kita untuk mencari rezeki. Cepat sadar yg buat video, yg selalu baikot",cukup kita beedoa ada rezeki kita kirim kan untuk palestina kita cinta gk usah berlebihan gk ingat yg buat video ini berapa bnyk akan jadi phk produk lain akan naik warganya klau bisa buat video fikirkan pikirkan saudara kita untuk mencari rezeki cepat sadar yg buat video yg selalu baikot,positive
902,@rifkydarius5532,"Apa sih cuma gr gr dri israel, kalian terlalu ikut campur dgn urusan orng lain. Apalagi begitu rasis nya dgn israel gr gr palestina dibagian gaza dibom, bkn berrti barang yg berasal dri israel kita tdk boleh pakai. Ckckkckckckckk Kasian nya boleh tp tdk dgn sampai bgtu lh",apa sih cuma gr gr dri israel kalian terlalu ikut campur dgn urusan orng lain apalagi begitu rasis nya dgn israel gr gr palestina dibagian gaza dibom bkn berrti barang yg berasal dri israel kita tdk boleh pakai ckckkckckckckk kasian nya boleh tp tdk dgn sampai bgtu lh,negative
903,@vincentvallen1960,"Pffftttt kalau lu memang ada rasa kemanusiaan ga bakalan komen kek orang idiot gini,itu udah bukan urusan agama tapi urusan kemanusiaan ,negara orang yg di genosida,kalau lu di posisi mereka bakaln gimana,kalau pengetahuan masih minim dan juga masih jadi wibu bau bawang mending jangan komen2 deh malah nunjukin ke idiotan lu",pffftttt kalau lu memang ada rasa kemanusiaan ga bakalan komen kek orang idiot giniitu udah bukan urusan agama tapi urusan kemanusiaan negara orang yg di genosidakalau lu di posisi mereka bakaln gimanakalau pengetahuan masih minim dan juga masih jadi wibu bau bawang mending jangan komen deh malah nunjukin ke idiotan lu,negative
904,@rifkydarius5532,"@@vincentvallen1960 kalau tau ini komentar yg idiot ngapain dijwb, sm aj idiot . Semua orng bisa berkomentar dan berpendapat . Ngomongin orng idiot g sdr diri . PAOK Klo kau sipaling kasihan . Udh demo aj kau ke palestina bagian gaza biar di bom",kalau tau ini komentar yg idiot ngapain dijwb sm aj idiot semua orng bisa berkomentar dan berpendapat ngomongin orng idiot sdr diri paok klo kau sipaling kasihan udh demo aj kau ke palestina bagian gaza biar di bom,negative
905,@putraaner5336,👍👍benar kasi boikot setiap barangan israel jgn ada 1 pun yg di jual di dlm negara islam..mulai skrg kita kena belajar guna barang2 buatan kita sendiri..jgn biar kn saudara2 kita di palastin menderita kerana kita..kasi boikot semua barangan israel .,benar kasi boikot setiap barangan israel jgn ada pun yg di jual di dlm negara islammulai skrg kita kena belajar guna barang buatan kita sendirijgn biar kn saudara kita di palastin menderita kerana kitakasi boikot semua barangan israel,negative
906,@calonpegawaiyoutube413,teruslah boikot sampai bapakmu di phk tanpa pesangon..😂😂,teruslah boikot sampai bapakmu di phk tanpa pesangon,negative
907,@calonpegawaiyoutube413,teruslah boikot sampai bapakmu di phk tanpa pesangon..😂😂,teruslah boikot sampai bapakmu di phk tanpa pesangon,negative
908,@bluwerbluwer6407,"cmn Sangar Di awal Aja,,Ntr Gak Boikot Lagi😂 Boikot Kok Pilih2😂Produk Iphone dan Apps Whatsap kok Gak Di Boikot😂😂",cmn sangar di awal ajantr gak boikot lagi boikot kok pilih produk iphone dan apps whatsap kok gak di boikot,negative
909,@faisalhock599,Pokoknya jgn beli produk dri unilefer aja,pokoknya jgn beli produk dri unilefer aja,negative
910,@muhammadaden5541,"Palestina Israel adalah takdir Allah, hanya Allah yng tau kapan palestna Israel berakhir karna Allah sudah menjanjikan untuk palestna dn israel",palestina israel adalah takdir allah hanya allah yng tau kapan palestna israel berakhir karna allah sudah menjanjikan untuk palestna dn israel,positive
911,@fhanisujianto8870,Banyak ternyata brang2 nya😢,banyak ternyata brang nya,positive
912,@ratnaayu-gd2vi,"_""Kelamaan ngandalin Pemerintah, langsung boikot Nastle, Dancow, McDonald\'s dan antek-anteknya...""_",kelamaan ngandalin pemerintah langsung boikot nastle dancow mcdonalds dan antekanteknya,negative
913,@renggasaputra2123,Darimana kita tau itu produk israel?,darimana kita tau itu produk israel,negative
914,@triyatno4628,Maaf palestina barang nya di rumah ku,maaf palestina barang nya di rumah ku,neutral
915,@fatimahzahira12,Sprite Coca - cola Iphone Fanta Aqua Dan saya ingin bertanya apakah sabun zen dari zionis,sprite coca cola iphone fanta aqua dan saya ingin bertanya apakah sabun zen dari zionis,neutral
916,@Wyn_Vlog,Aqua? Sunleq sma mama lemon produk Japanese sekutunya Israel 😅😅😅😅,aqua sunleq sma mama lemon produk japanese sekutunya israel,neutral
917,@ALYACAT74STrCH,"Pembela agama yg satu ini suka main boikot², apakah konsep berfikirnua begitu merespons konflik dunia, BIJAKLAH kalian beragama!",pembela agama yg satu ini suka main boikot apakah konsep berfikirnua begitu merespons konflik dunia bijaklah kalian beragama,negative
918,@trilutfi2200,"Saya umat islam....saya jga mendukung palestina...tpi gak gitu cara.a jga...kasian yg jualan2..apa pgi penjual kcil...mereka emng tau itu produk israel apa gak.a...situ jga mungkin sma... Logika aja...semisal smua produk di klaim bahwasanya...smua produk makanan,minuman smua itu dari israel...apakah situ mau beli?trus apa situ jga gak mau makan? Emng tubuh kita gak btuh nutrisi?atau asupan? Berfikir lebih cermat lagi y...jngan asal post gitu...apa kmu gak ksian sma yg lain...mayoritas yg jualan jga beragama islam...apakah kmu gak ksian sma sodara kmu jga yg dagangan.a gak laku karna postingqn kmu ini?",saya umat islamsaya jga mendukung palestinatpi gak gitu caraa jgakasian yg jualan apa pgi penjual kcilmereka emng tau itu produk israel apa gakasitu jga mungkin sma logika ajasemisal smua produk di klaim bahwasanyasmua produk makananminuman smua itu dari israelapakah situ mau belitrus apa situ jga gak mau makan emng tubuh kita gak btuh nutrisiatau asupan berfikir lebih cermat lagi yjngan asal post gituapa kmu gak ksian sma yg lainmayoritas yg jualan jga beragama islamapakah kmu gak ksian sma sodara kmu jga yg dagangana gak laku karna postingqn kmu ini,negative
919,@posjoker4542,saya sejak 2018 sudah berusaha semampunya sekarang Alhamdulillah sudah banyak yang sadar meskipun ada kontra mari kita hormati pendapat masing2,saya sejak sudah berusaha semampunya sekarang alhamdulillah sudah banyak yang sadar meskipun ada kontra mari kita hormati pendapat masing,positive
920,@skynet4790,"Wah wah parah ini, itu kan produk indonesia",wah wah parah ini itu kan produk indonesia,negative
921,@ramaxnonok2012,"Ambil sisi positifnya aja bree Yah emang bakal banyak pemecatan masal dan banyak pengangguran klo bikot ini berlanjut , TAPI degan ad boikot ini usaha dan brand brand lokal bisa bersaing dan berkembang , sehingga lapangan pekerjaan terbuka lebar , So jgan menyimpulkan sesuatu dari satu sudut pandang , Krn setiap tindakan juga bukan di pilih/di lakukan tanpa ad perkiraan. #FREEPALESTINA #LAKNATISRAEL",ambil sisi positifnya aja bree yah emang bakal banyak pemecatan masal dan banyak pengangguran klo bikot ini berlanjut tapi degan ad boikot ini usaha dan brand brand lokal bisa bersaing dan berkembang sehingga lapangan pekerjaan terbuka lebar so jgan menyimpulkan sesuatu dari satu sudut pandang krn setiap tindakan juga bukan di pilihdi lakukan tanpa ad perkiraan freepalestina laknatisrael,negative
922,@mipol1233,"Yang membuat video terhasut oleh berita hoax tanpa mencari kebenaran nya dulu dan logikanya seperti ini,jika ada produk Israel kenapa ko gak dilarang dari dulu???",yang membuat video terhasut oleh berita hoax tanpa mencari kebenaran nya dulu dan logikanya seperti inijika ada produk israel kenapa ko gak dilarang dari dulu,negative
923,@hambaallah85884,"Yang merk ABC itu juga di boikot mau sarden abc,kecap abc sama aja,mereka dari pabrik Kraft corp",yang merk abc itu juga di boikot mau sarden abckecap abc sama ajamereka dari pabrik kraft corp,negative
924,@adamzaidancandra3363,Kalau produk israel kenapa di impor ke indo,kalau produk israel kenapa di impor ke indo,negative
925,@adamzaidancandra3363,Hei itu semua bukan prduk israel aqua juga bukan ada tulisan bangga buatan indonesia,hei itu semua bukan prduk israel aqua juga bukan ada tulisan bangga buatan indonesia,negative
926,@adamzaidancandra3363,Kalau produk israel napa di impor di indo,kalau produk israel napa di impor di indo,negative
927,@adit8829,"Tpi klo untuk skrng mungkin agak merugikan negara jga, kan barangnya udh bayar tuh, klo boikot ya berarti negara tinggal larang aja produk is real msuk indo",tpi klo untuk skrng mungkin agak merugikan negara jga kan barangnya udh bayar tuh klo boikot ya berarti negara tinggal larang aja produk is real msuk indo,negative
928,@duniarti9260,Semuanya bukan produk dari Israel jangan sok tau semuanya produk dari negara Indonesia,semuanya bukan produk dari israel jangan sok tau semuanya produk dari negara indonesia,negative
929,@DodiDwinanto-gq1gn,Maaf smwnya bukannya MUI ga mengeluarin daftar produk2 yg harus diboikot Jadi keknya peelu dipelajari lagi mana produl asli indonesia ( tanpa prosuk terrafiliasi israel atw sekutunya) dgn produk yerafiliasi israel,maaf smwnya bukannya mui ga mengeluarin daftar produk yg harus diboikot jadi keknya peelu dipelajari lagi mana produl asli indonesia tanpa prosuk terrafiliasi israel atw sekutunya dgn produk yerafiliasi israel,negative
930,@rudysetiawan4903,Sy dukung palestina tp saya tdk mau boikot produk israel di indonesia kenapa banyak rakyat kita yg bekerja di perusahaan itu orang islam juga menyekolahkan anak anaknya dan mencari Nafkah siapa yg bertanggung jawab terhadap kehidupan mereka.,sy dukung palestina tp saya tdk mau boikot produk israel di indonesia kenapa banyak rakyat kita yg bekerja di perusahaan itu orang islam juga menyekolahkan anak anaknya dan mencari nafkah siapa yg bertanggung jawab terhadap kehidupan mereka,negative
931,@RaaEditzz.,Yaelah palingan sm ajamsuk perut jadi tai atau air kencing alay bet,yaelah palingan sm ajamsuk perut jadi tai atau air kencing alay bet,negative
932,@AryaProducton,Bukannya mamalemon dari perusahaan Jepang yah.?,bukannya mamalemon dari perusahaan jepang yah,negative
933,@nurhanah6773,"Mohon maaf sebenarnya tidak harus begitu,karna mengganggu orang kerja,dan coba engkau menjadi penjualnya kalian akan merasakn yang diaraskan,jadi membeli barang tidak harus melihat dari siapa negara yang membuatnya,Dia sudah jalan jauh,hargailah yang menjualnya",mohon maaf sebenarnya tidak harus begitukarna mengganggu orang kerjadan coba engkau menjadi penjualnya kalian akan merasakn yang diaraskanjadi membeli barang tidak harus melihat dari siapa negara yang membuatnyadia sudah jalan jauhhargailah yang menjualnya,negative
934,@user-kb4kv9py2n,Ni orng ngeboikot atau nge promosi sih 😭😭,ni orng ngeboikot atau nge promosi sih,negative
935,@pakcek.7310,PRODUK UNILEVER SMUA BAHHH,produk unilever smua bahhh,positive
936,@retnoahmad1193,Kalo hatinya dah tertutub..janganlah itu makanan dan produk gak punya salah gak punya dosa disangkut pautkan..ngajie kurang jeru....karena itu buat kemasalakatan orang banyak pabriknya jg diindonesia yg kerja jg orang indonesia..yg bersengketa kan di daerah yerusalem...,kalo hatinya dah tertutubjanganlah itu makanan dan produk gak punya salah gak punya dosa disangkut pautkanngajie kurang jerukarena itu buat kemasalakatan orang banyak pabriknya jg diindonesia yg kerja jg orang indonesiayg bersengketa kan di daerah yerusalem,negative
937,@WhyYouLookAtMyProfilePicture,Tapi oreo jajan kesukaan ku :(,tapi oreo jajan kesukaan ku,positive
938,@BORINGEDIT,Sering kadang kadang disuruh emak beli ryko,sering kadang kadang disuruh emak beli ryko,neutral
939,@AssifaAzzarah,Free Palestine 🇵🇸🇵🇸🇵🇸,free palestine,neutral
940,@hansyadakwah94,Kecap ABC juga dari Israel,kecap abc juga dari israel,neutral
941,@user-ok8fi6xp3n,Itu ada juga dari Indonesia liahat aja ada logo halalnya,itu ada juga dari indonesia liahat aja ada logo halalnya,neutral
942,@alvimangultom1531,Tolol,tolol,negative
943,@aryadarmaputra10,"Produk Ga salah selagi halal,Yang Salah Manusianya !",produk ga salah selagi halalyang salah manusianya,negative
944,@user-go3qu9qy2j,lebay alay.. banyakan nonton drama,lebay alay banyakan nonton drama,negative
945,@foxtundergems3121,aqua indo bang lu sdm tinkat rendah kah?,aqua indo bang lu sdm tinkat rendah kah,negative
946,@turminimini4896,tpi produk yahudi kok bagus dn bnyak yg cocok,tpi produk yahudi kok bagus dn bnyak yg cocok,positive
947,@adityawira9991,"kecap ABC boikot,coca cola boikot, sprite boikot, kecap Bango boikot,oreo boikot,teh Sariwangi boikot,sunlight boikot, Royco boikot, Nescafe boikot produk Israel semua masih ada lagi masih banyak yang boikot jangan dibeli produk Israel 👎👎🇮🇱🇮🇱",kecap abc boikotcoca cola boikot sprite boikot kecap bango boikotoreo boikotteh sariwangi boikotsunlight boikot royco boikot nescafe boikot produk israel semua masih ada lagi masih banyak yang boikot jangan dibeli produk israel,negative
948,@user-gt3pm6sb7t,"kalau gak beli itu sama dengan perjuangin palestina?? kenapa gak sekalian aja ikut perang jelas menolong... heran sama orang indo kadang""..",kalau gak beli itu sama dengan perjuangin palestina kenapa gak sekalian aja ikut perang jelas menolong heran sama orang indo kadang,negative
949,@beltrandanata4012,Mikir apa warga indonesia ni kocak kocak,mikir apa warga indonesia ni kocak kocak,negative
950,@iinkembar6416,bodoh kali itu kan sama aja,bodoh kali itu kan sama aja,negative
951,@COUNTRYOFINDONESIA,"Abc bukannya produk Israel juga ya? Karena abc dibuat sama pt heinz, dan heinz itu ngedukung israel",abc bukannya produk israel juga ya karena abc dibuat sama pt heinz dan heinz itu ngedukung israel,negative
952,@mahfudianwar3226,itu smya produk UNILEVER kan,itu smya produk unilever kan,neutral
953,@Le_Minerale,ABC diboikot bg -_-,abc diboikot bg,negative
954,@RIZKY_2525,Bg kalo gua cerita ke emak gua begini auto indomaret nyah berantakan,bg kalo gua cerita ke emak gua begini auto indomaret nyah berantakan,negative
955,@ibnuseptiyanto,waton,waton,neutral
